Item,Rate
Chilli Fish (6 pc) ,Rs.185
Fish Sweet & Sour (6 pc) ,Rs.225
Fish In Barbique Sauce (8 pc) ,Rs.255
Chilli Prawn (6 pc) ,Rs.285
Prawn In Oyester Sause (6 pc) ,Rs.285
Prawn Sweet & Sour (6 pc) ,Rs.305
Paneer Main Course  ,
Paneer Butter Masala ,Rs.185
Palak Paneer ,Rs.185
Matar Paneer ,Rs.145
Kadai Paneer ,Rs.165
Paneer Do Pyaza ,Rs.175
Chilli Paneer ,Rs.145
Mutton Main Course  ,
Mutton Do Pyaza (4 pc) ,Rs.255
Mutton Saagwala (4 pc) ,Rs.285
Mutton Kasa (4 pc) ,Rs.255
Mutton Korma (4 pc) ,Rs.285
Bhuna Mutton (4 pc) ,Rs.285
Veg Main Course  ,
Dal ,Rs.75
Lashuni Dal Tadka ,Rs.105
Dal Butter Fry ,Rs.95
Dal Makhani ,Rs.125
Navaratna Korma ,Rs.165
Veg Jhal Frezy ,Rs.155
Baby Corn Potato Peas Curry ,Rs.165
Mixed Veg (F) ,Rs.125
Mixed Veg (H) ,Rs.85
Bhindi Masala ,Rs.145
Gobi Aloo ,Rs.105
Veg Sweet & Sour ,Rs.145
Veg Manchurian ,Rs.145
Mushroom Main Course  ,
Chilli Mushroom ,Rs.155
Mushroom Baby Corn In Hot Garlic Sauce ,Rs.165
Accompaniment  ,
Green Salad ,Rs.65
Onion Salad ,Rs.45
