Item,Rate
Butter Naan ,Rs.40
Tandoor Lachha Paratha ,Rs.45
Tandoor Aloo Paratha ,Rs.45
Masala Kulcha ,Rs.60
Paneer Kulcha ,Rs.70
Garlic Naan ,Rs.45
Kashmiri Naan ,Rs.85
Aloo Kulcha ,Rs.50
Accompaniment  ,
Dry Papad (Only For Lunch) ,Rs.8
Fried Papad (Only For Lunch) ,Rs.8
Green Salad ,Rs.31
Russian salad ,Rs.41
Curd ,Rs.36
Veg Raita ,Rs.36
Pineapple Raita ,Rs.46
Egg Bhujia (3 pc) ,Rs.71
Dessert  ,
Sandesh (2 pc) ,Rs.26
Gulab Jamun (2 pc) ,Rs.26
Malpua (2 pc) ,Rs.26
Rajvog (2 pc) ,Rs.26
Chow Main Course  ,
Chicken Chow Mein (Hakka) ,Rs.96
Veg Hakka Chow Mein ,Rs.76
Mixed Hakka Chow Mein ,Rs.136
Chicken Chow Mein (Gravy) ,Rs.116
Veg Chow Mein (Gravy) ,Rs.106
Mixed Chow Mein (Gravy) ,Rs.136
American Chop Suey ,Rs.176
Egg Main Course  ,
Egg Curry (2 pc) ,Rs.66
Omelette Curry (2 pc) ,Rs.76
Omelette Bharta (3 pc) ,Rs.91
Fish Main Course  ,
Fish Curry (2 pc) ,Rs.126
Fish Curry with Vegetable (2 pc) ,Rs.136
Fish Masala (2 pc) ,Rs.131
Fried Fish (2 pc) ,Rs.116
Prawn Malai Curry (6 pc) ,Rs.201
Tilottama Vetki (4 pc) ,Rs.181
Vetki Malai Curry (4 pc) ,Rs.181
Hariyali Vetki (4 pc) ,Rs.181
Fried Pomfret (2 pc) ,Rs.246
Pomfret Curry (2 pc) ,Rs.246
Pudina Fish ,Rs.186
Grilled Pomfret (2 pc) ,Rs.256
Pomfret With Garlic Sauce (2 pc) ,Rs.256
Fish Posto (2 pc) ,Rs.146
Doi Fish (2 pc) ,Rs.156
Chilli Fish (6 pc) ,Rs.156
Fish Sweet & Sour (6 pc) ,Rs.156
Chilli Prawn (6 pc) ,Rs.196
Garlic Prawn (6 pc) ,Rs.196
Sweet & Sour Prawn (6 pc) with Baby Corn (4 pc) ,Rs.201
