Item,Rate
Ginger Fried Rice ,Rs150
Garlic Fried Rice ,Rs150
Biryani Main Course  ,
Double Egg Biryani ,Rs100
Chicken Biryani ,Rs135
Spcl Chicken Biryani (2 pc) ,Rs220
Mutton Biryani ,Rs170
Spcl Mutton Biryani (2 pc) ,Rs280
Hundi Chicken Biryani (Family) ,Rs375
Hundi Mutton Biryani (Family) ,Rs480
Chimney Special Biryani ,Rs350
Roti Main Course  ,
Rumali Roti ,Rs9
Tandoori Roti ,Rs15
Butter Tandoori Roti ,Rs20
Lachha Paratha ,Rs20
Naan Paratha ,Rs25
Butter Naan ,Rs35
Masala Kulcha ,Rs45
Lachchedar Naan ,Rs40
Masala Naan ,Rs50
Garlic Naan ,Rs50
Kabuli Naan ,Rs50
Keema Naan ,Rs80
Aloo Paratha ,Rs40
Paneer Paratha ,Rs60
Gobi Paratha ,Rs60
Veg Main Course  ,
Dal Tadka ,Rs70
Spcl Dal Butter Tadka ,Rs90
Dal Makhani ,Rs100
Spcl Yellow Dal Fry ,Rs80
Aloo Matar ,Rs80
Aloo Do Pyaza ,Rs90
Aloo Palak (Seasonal) ,Rs100
Aloo Dhania ,Rs100
Jeera Aloo ,Rs80
Mixed Vegetable ,Rs110
Palak Cream (Seasonal) ,Rs110
Gobi Matar (Seasonal) ,Rs90
Green Peas Masala ,Rs90
Malai Kofta ,Rs120
Capsicum Masala ,Rs120
Banarasi Aloo ,Rs120
Navaratna Korma ,Rs130
Bhojpuri Aloo ,Rs110
Veg Jhal Frezy ,Rs130
Shabnam Curry ,Rs130
Diwani Hundy ,Rs140
Chana Masala ,Rs110
Chilli Babycorn ,Rs140
Schezwan Babycorn ,Rs150
Garlic Babycorn ,Rs140
Veg Manchurian ,Rs110
Egg Main Course  ,
Double Egg Tadka ,Rs90
Paneer Main Course  ,
Palak Paneer (Seasonal) ,Rs160
Matar Paneer ,Rs150
Sahi Paneer ,Rs170
Kadai Paneer ,Rs160
Paneer Do Pyaza ,Rs150
Paneer Butter Masala ,Rs170
Paneer Tikka Butter Masala ,Rs200
Chilli Paneer ,Rs160
Paneer Pasinda ,Rs180
Paneer Bharta ,Rs190
Chilli Paneer ,Rs160
Schezwan Paneer ,Rs170
Garlic Paneer ,Rs160
Manchurian Paneer ,Rs160
Accompaniment  ,
Mixed Raita ,Rs50
Dahi ,Rs30
Green Salad ,Rs50
Onion Salad ,Rs40
Hong Kong Soup ,Rs130
Egg Starter  ,
Tolomina Soup ,Rs120
Tomato Egg Soup ,Rs120
Thai Soup ,Rs100
Chow Main Course  ,
Veg Chow Mein (Hakka) ,Rs60
Veg Chow Mein (Gravy) ,Rs70
Egg Chow Mein (Hakka) ,Rs70
Egg Chow Mein (Gravy) ,Rs80
Chicken Chow Mein (Hakka) ,Rs100
Chicken Chow Mein (Gravy) ,Rs110
Mixed Chow Mein (Hakka) ,Rs140
Mixed Chow Mein (Gravy) ,Rs150
Prawn Chow Mein ,Rs170
Egg Chicken Chow Mein (Hakka) ,Rs120
Egg Chicken Chow Mein (Gravy) ,Rs130
Singapore Mixed Noodles ,Rs160
Garlic Chow Mein Hakka ,Rs160
Shanghai Chow Mein Hakka ,Rs170
Ginger Chow Mein Hakka ,Rs160
Thai Chow Mein Hakka ,Rs160
Chicken Chilli Garlic Noodles ,Rs160
Veg Chop Suey ,Rs120
Chicken Chop Suey ,Rs150
Prawn Chop Suey ,Rs170
American Chop Suey ,Rs150
Mushroom Chilli ,Rs140
Crispy Crunchy Veg ,Rs130
Mushroom Main Course  ,
Chilli Mushroom ,Rs140
Schezwan Mushroom ,Rs150
Garlic Mushroom ,Rs140
